iter	RMSE
709	683.6544193
710	683.5103856
711	683.3964612
712	683.3290817
713	683.3152936
714	683.2351324
715	683.1439426
716	683.0668384
717	682.9996548
718	682.911324
719	682.8932993
720	682.8458233
721	682.774604
722	682.7283873
723	682.5027721
724	682.4225019
725	682.1924181
726	682.1370417
727	682.0622586
728	681.9830263
729	681.8931272
730	681.8724795
731	681.8671391
732	681.7096285
733	681.5871416
734	681.5569185
735	681.5014273
736	681.4779141
737	681.3029802
738	681.1846468
739	681.0736861
740	680.9992856
741	680.9515181
742	680.8467414
743	680.7804297
744	680.7584063
745	680.71066
746	680.6075519
747	680.5028678
748	680.4180142
749	680.2509326
750	680.2054427
751	680.1356296
752	680.1294988
753	680.0865017
754	679.9934065
755	679.9386788
756	679.88472
757	679.8105948
758	679.6754868
759	679.6393681
760	679.5710352
761	679.5122226
762	679.4592471
763	679.438219
764	679.3448986
765	679.2529938
766	679.199932
767	679.1239897
768	679.0236389
769	678.8942714
770	678.7919715
771	678.6451893
772	678.4435581
773	678.4137405
774	678.3502744
775	678.1738983
776	678.124894
777	678.0521157
778	677.9984446
779	677.7829932
780	677.7357471
781	677.6007055
782	677.5424915
783	677.4535268
784	677.3598639
785	677.3138141
786	677.2342057
787	677.1868307
788	677.0753469
789	677.0235222
790	676.9508524
791	676.9106403
792	676.7593723
793	676.73359
794	676.665761
795	676.6305249
796	676.6119508
797	676.5372451
798	676.4717231
799	676.4017285
800	676.3652354
801	676.325033
802	676.2817982
803	676.2387163
804	676.151096
805	676.1131714
806	676.0755904
807	676.0187493
808	675.9345794
809	675.8555307
810	675.7144662
811	675.5791975
812	675.5018334
813	675.4912485
814	675.4498247
815	675.3592557
816	675.2470726
817	675.2094965
818	675.1458248
819	675.1148007
820	675.0939904
821	674.9895563
822	674.922633
823	674.7902305
824	674.7362532
825	674.6457427
826	674.522415
827	674.3794801
828	674.2930454
829	674.0955331
830	673.9768598
831	673.9582402
832	673.8414356
833	673.7344266
834	673.6790493
835	673.5366773
836	673.5293211
837	673.4916594
838	673.3521429
839	673.3231821
840	673.3145465
841	673.2284518
842	673.1823264
843	673.0516013
844	672.9762267
845	672.8567857
846	672.8409045
847	672.7529369
848	672.6183495
849	672.560923
850	672.4571626
851	672.4195171
852	672.3571906
853	672.352736
854	672.324013
855	672.2798527
856	672.2022239
857	672.1506
858	671.9552385
859	671.8942103
860	671.8863061
861	671.8630876
862	671.7754311
863	671.7487341
864	671.6712058
865	671.6347175
866	671.5428892
867	671.5315475
868	671.5283034
869	671.4538989
870	671.3768987
871	671.2256422
872	671.0503914
873	671.0197387
874	670.9531486
875	670.9044298
876	670.7910704
877	670.7139053
878	670.6373344
879	670.5909273
880	670.5621839
881	670.5443797
882	670.4301988
883	670.382958
884	670.3302945
885	670.2639925
886	670.2166882
887	670.1749161
888	670.0487383
889	670.0083899
890	669.8892454
891	669.8483982
892	669.7763367
893	669.7499994
894	669.6899339
895	669.5505178
896	669.4148232
897	669.3727704
898	669.3697072
899	669.3101737
900	669.2132636
901	669.1490222
902	669.0146332
903	668.9615547
904	668.898075
905	668.8081198
906	668.6894403
907	668.5383909
908	668.4694021
909	668.4020517
910	668.2540788
911	668.2104203
912	668.1552004
913	668.1218032
914	668.0841281
915	668.0394169
916	667.9837301
917	667.9063044
918	667.8629447
919	667.8102635
920	667.6436733
921	667.6020469
922	667.5148107
923	667.4375241
924	667.4052612
925	667.3058286
926	667.2063933
927	667.1437618
928	667.0862108
929	667.0750922
930	667.0167181
931	666.8851777
932	666.8183018
933	666.7305758
934	666.657254
935	666.6065815
936	666.597979
937	666.5501114
938	666.4598116
939	666.4014211
940	666.3284462
941	666.2627939
942	666.0202113
943	665.9520955
944	665.7879587
945	665.7405129
946	665.7119493
947	665.6487763
948	665.5728601
949	665.4666024
950	665.3665601
951	665.2459562
952	665.2369625
953	665.2146397
954	665.10108
955	665.0572913
956	664.8891232
957	664.8062831
958	664.6789959
959	664.6014995
960	664.5222796
961	664.4162624
962	664.4018391
963	664.3262626
964	664.1811676
965	664.1176161
966	664.0561788
967	663.9994293
968	663.9384823
969	663.8158603
970	663.7176687
971	663.6790958
972	663.6343298
973	663.6147019
974	663.571335
975	663.5362856
976	663.5066495
977	663.3851539
978	663.3068669
979	663.1889089
980	663.0680066
981	662.9742548
982	662.9258419
983	662.7980137
984	662.7297965
985	662.5731933
986	662.5539645
987	662.5328229
988	662.462973
989	662.3985154
990	662.3737666
991	662.3308369
992	662.2606647
993	662.2238654
994	662.204441
995	662.1688729
996	662.1060481
997	661.98523
998	661.9191605
999	661.8213331
